"COUNTRY_CODE","HEMISPHERE","ISO_WEEK","ISO_YEAR","flu_year","AH1N12009","AH1","AH3","AH5","AH7N9","BVIC_2DEL","BVIC_3DEL","BVIC_NODEL","BVIC_DELUNK","BYAM","vaccine_H1N1","vaccine_H3N2","vaccine_B_trivalent"
"AUS","SH",13,2014,"2014-2015",6,0,8,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"ECU","SH",40,2012,"2012-2013",0,0,0,NA,NA,NA,NA,NA,NA,NA,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"FRA","NH",40,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"MNG","NH",4,2008,"2008-2009",NA,1,4,NA,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Florida/4/2006"
"JOR","NH",40,2015,"2015-2016",1,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"LUX","NH",24,2022,"2022-2023",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"X10","NH",13,2023,"2023-2024",2,NA,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"MEX","NH",47,2012,"2012-2013",0,0,20,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"MLT","NH",5,2017,"2017-2018",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"NIC","NH",6,2022,"2022-2023",0,0,2,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"POL","NH",50,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"SEN","NH",33,2020,"2020",0,NA,0,0,0,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"X10","NH",42,2020,"2020-2021",0,0,3,NA,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"BEL","NH",1,2016,"2016-2017",2,0,0,NA,NA,NA,NA,5,NA,0,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"FIN","NH",36,2019,"2019-2020",0,0,3,NA,NA,NA,NA,0,NA,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"MAR","NH",6,2022,"2022-2023",0,NA,0,0,0,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"NCL","SH",8,2006,"2006-2007",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/California/7/2004","B/Malaysia/2506/2004"
"QAT","NH",46,2014,"2014-2015",8,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"SGP","NH",36,2008,"2008",NA,8,3,NA,NA,NA,NA,NA,NA,NA,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Florida/4/2006"
"AUT","NH",35,2013,"2013-2014",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"BRA","SH",49,2022,"2022-2023",5,0,3,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Perth/16/2009","B/Washington/02/2019"
"MYS","NH",23,2007,"2007-2008",0,0,1,0,NA,NA,NA,0,NA,0,"A/New Caledonia/20/99","A/Wisconsin/67/2005","B/Malaysia/2506/2004"
"UZB","NH",9,2024,"2024-2025",0,NA,0,0,NA,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"ARG","SH",42,2012,"2012-2013",4,0,5,0,NA,NA,NA,36,NA,3,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"ARG","SH",11,2005,"2005-2006",NA,0,1,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Wellington/1/2004","B/Shanghai/361/2002"
"FRA","NH",52,2009,"2009-2010",1028,0,1,0,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"KHM","NH",29,2008,"2008-2009",0,0,0,0,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Florida/4/2006"
"KEN","NH",30,2020,"2020",0,NA,0,0,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"TLS","SH",12,2018,"2018-2019",0,NA,0,0,0,NA,NA,2,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Phuket/3073/2013"
"ITA","NH",50,2022,"2022-2023",4,NA,122,NA,NA,NA,NA,2,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"MDG","SH",11,2021,"2021-2022",0,NA,0,0,0,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"SLE","NH",37,2013,"2013-2014",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"THA","NH",45,1998,"1998-1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVN","NH",2,2020,"2020-2021",5,0,3,NA,NA,NA,NA,5,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"DNK","NH",5,2018,"2018-2019",62,0,52,NA,NA,NA,NA,0,NA,353,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"PER","SH",53,2004,"2004-2005",NA,1,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Fujian/411/2002","B/Hong Kong/330/2001"
"UZB","NH",14,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"ARE","NH",52,2021,"2021-2022",2,NA,1,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"IND","NH",14,1997,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISL","NH",1,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"LUX","NH",6,2007,"2007-2008",NA,NA,7,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Wisconsin/67/2005","B/Malaysia/2506/2004"
"ARG","SH",18,2006,"2006-2007",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/California/7/2004","B/Malaysia/2506/2004"
"EGY","NH",48,2002,"2002-2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Hong Kong/330/2001"
"CZE","NH",20,2022,"2022-2023",0,0,1,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"FIN","NH",51,2011,"2011-2012",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"HUN","NH",50,2013,"2013-2014",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"HKG","NH",11,2020,"2020-2021",3,NA,5,NA,NA,NA,NA,2,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"PRT","NH",37,2013,"2013-2014",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"SWE","NH",5,1997,"1997-1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB","NH",27,2019,"2019-2020",5,0,8,NA,NA,1,NA,1,0,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"IND","NH",8,2012,"2012",4,0,10,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"LVA","NH",1,2019,"2019-2020",18,0,2,NA,NA,NA,NA,0,NA,0,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"SLV","NH",50,2022,"2022-2023",0,NA,1,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"MUS","SH",33,2016,"2016-2017",0,0,0,0,NA,NA,NA,NA,NA,NA,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"PSE","NH",3,2019,"2019-2020",67,NA,11,NA,NA,NA,NA,NA,NA,NA,"A/Brisbane/02/2018","A/Kansas/14/2017","B/Colorado/06/2017"
"MEX","NH",26,2022,"2022-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"JPN","NH",53,2004,"2004-2005",NA,8,8,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Fujian/411/2002","B/Shanghai/361/2002"
"MDG","SH",33,2019,"2019-2020",8,NA,1,0,0,NA,NA,13,NA,0,"A/Michigan/45/2015","A/Switzerland/8060/2017","B/Colorado/06/2017"
"MAR","NH",9,2016,"2016-2017",14,0,6,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"XKX","NH",2,2016,"2016-2017",0,0,1,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"BRA","SH",27,2001,"2001-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Sichuan/379/99"
"IDN","SH",8,2016,"2016",6,0,12,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"MDG","SH",42,2006,"2006-2007",NA,0,26,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/California/7/2004","B/Malaysia/2506/2004"
"CAN","NH",49,2009,"2009-2010",696,0,1,NA,NA,NA,NA,NA,NA,NA,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"CHL","SH",21,2021,"2021-2022",0,0,0,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"LAO","NH",36,2023,"2023-2024",6,NA,2,0,0,NA,NA,1,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"NLD","NH",4,2012,"2012-2013",0,0,4,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"PER","SH",1,2022,"2022-2023",0,0,59,NA,NA,0,0,0,0,0,"A/Victoria/2570/2019","A/Perth/16/2009","B/Washington/02/2019"
"DNK","NH",48,2022,"2022-2023",3,NA,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"AUT","NH",4,2017,"2017-2018",0,0,43,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"MEX","NH",36,2000,"2000-2001",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Beijing/184/93"
"FRA","NH",4,2018,"2018-2019",165,0,28,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"HUN","NH",52,2012,"2012-2013",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"THA","NH",1,2015,"2015-2016",0,0,1,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"HND","NH",23,2007,"2007-2008",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Wisconsin/67/2005","B/Malaysia/2506/2004"
"ISR","NH",14,2010,"2010-2011",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"RWA","SH",34,2012,"2012-2013",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"MMR","NH",15,2017,"2017-2018",0,NA,0,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"KOR","NH",23,2008,"2008-2009",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Florida/4/2006"
"MDV","NH",38,2022,"2022-2023",1,NA,12,0,1,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"PRY","SH",37,2017,"2017-2018",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"UGA","NH",1,2012,"2012",0,0,3,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"YEM","NH",52,2023,"2023-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"AFG","NH",14,2012,"2012-2013",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"FIN","NH",20,2016,"2016-2017",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"IRL","NH",25,2023,"2023-2024",0,NA,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"ISL","NH",19,2002,"2002-2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Hong Kong/330/2001"
"JPN","NH",6,2024,"2024-2025",29,0,32,0,0,NA,NA,125,NA,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"LAO","NH",33,2015,"2015-2016",0,0,9,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"MUS","SH",50,2018,"2018-2019",3,NA,1,0,NA,NA,NA,NA,NA,NA,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Phuket/3073/2013"
"EGY","NH",17,2013,"2013-2014",5,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"ISL","NH",39,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"PRY","SH",35,2023,"2023-2024",1,0,0,NA,NA,0,0,0,0,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"KGZ","NH",42,2010,"2010-2011",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"KHM","NH",48,2017,"2017-2018",0,0,0,0,NA,NA,NA,0,NA,2,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"POL","NH",19,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"X11","NH",39,2017,"2017-2018",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"BRA","SH",25,2018,"2018-2019",345,NA,83,NA,NA,3,NA,4,1,5,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Phuket/3073/2013"
"FJI","SH",43,2017,"2017-2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"LAO","NH",26,2022,"2022-2023",0,NA,0,0,0,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"SEN","NH",5,2004,"2004",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Fujian/411/2002","B/Shanghai/361/2002"
"SWE","NH",45,2005,"2005-2006",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/California/7/2004","B/Shanghai/361/2002"
"UKR","NH",16,2017,"2017-2018",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"CRI","NH",50,2020,"2020-2021",0,0,0,NA,NA,0,0,0,0,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"GRC","NH",35,2012,"2012-2013",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"KAZ","NH",5,2012,"2012-2013",30,0,29,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"OMN","NH",49,2013,"2013-2014",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"PAK","NH",45,2017,"2017",0,NA,1,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"SGP","NH",15,2021,"2021",0,NA,0,0,0,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"UZB","NH",15,2011,"2011-2012",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"AFG","NH",40,2021,"2021-2022",0,NA,0,0,0,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"BFA","NH",27,2023,"2023-2024",0,NA,0,0,0,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"KHM","NH",47,2017,"2017-2018",0,0,1,0,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"NLD","NH",25,2021,"2021-2022",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"BGR","NH",29,2010,"2010-2011",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"CHL","SH",44,2023,"2023-2024",19,0,1,NA,NA,0,0,48,48,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"MDG","SH",18,2020,"2020-2021",0,NA,0,0,0,NA,NA,0,NA,0,"A/Brisbane/02/2018","A/South Australia/34/2019","B/Washington/02/2019"
"IRN","NH",6,2017,"2017-2018",0,NA,1,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"YEM","NH",45,2021,"2021-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"COL","NH",42,2013,"2013-2014",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Massachusetts/2/2012"
"FIN","NH",18,1999,"1999-2000",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLE","NH",44,2017,"2017-2018",0,NA,1,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"SUR","NH",5,2020,"2020-2021",1,0,0,NA,NA,1,0,1,0,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"NLD","NH",24,2020,"2020-2021",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"TCA","NH",52,2021,"2021-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/Victoria/2570/2019","A/Cambodia/e0826360/2020","B/Washington/02/2019"
"SWE","NH",2,2010,"2010-2011",7,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"VCT","NH",26,2023,"2023-2024",0,0,0,NA,NA,0,0,0,0,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"DNK","NH",26,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"DNK","NH",14,2014,"2014-2015",2,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"LBR","NH",25,2023,"2023-2024",0,NA,0,0,0,NA,NA,0,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"IND","NH",5,2003,"2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Moscow/10/99","B/Hong Kong/330/2001"
"IRQ","NH",49,2015,"2015-2016",5,0,1,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"PRT","NH",40,2018,"2018-2019",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"ETH","NH",39,2018,"2018-2019",0,NA,3,0,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"HND","NH",42,2007,"2007-2008",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Wisconsin/67/2005","B/Malaysia/2506/2004"
"EGY","NH",52,2006,"2006-2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/Wisconsin/67/2005","B/Malaysia/2506/2004"
"ETH","NH",3,2011,"2011-2012",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"LCA","NH",43,2020,"2020-2021",0,0,0,NA,NA,0,0,0,0,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"MYS","NH",38,2011,"2011-2012",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"PHL","NH",18,2023,"2023-2024",5,0,0,0,0,NA,NA,1,NA,0,"A/Victoria/4897/2022","A/Darwin/9/2021","B/Austria/1359417/2021"
"X11","NH",14,2020,"2020-2021",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"ECU","SH",36,2014,"2014-2015",0,0,2,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"CRI","NH",6,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"IRQ","NH",3,2009,"2009-2010",0,0,0,0,NA,NA,NA,0,NA,2,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"LCA","NH",3,2024,"2024-2025",0,0,0,NA,NA,0,0,0,0,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"NPL","NH",27,2022,"2022",7,NA,18,NA,NA,NA,NA,0,NA,NA,"A/Victoria/2570/2019","A/Darwin/9/2021","B/Austria/1359417/2021"
"DNK","NH",43,2014,"2014-2015",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Texas/50/2012","B/Massachusetts/2/2012"
"LKA","NH",12,2024,"2024",7,NA,4,0,0,NA,NA,3,NA,0,"A/Victoria/4897/2022","A/Thailand/8/2022","B/Austria/1359417/2021"
"AZE","NH",34,2018,"2018-2019",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"BLR","NH",23,2018,"2018-2019",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"IRN","NH",39,2009,"2009-2010",18,0,0,0,NA,NA,NA,0,NA,0,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"JOR","NH",37,2018,"2018-2019",0,NA,0,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"PHL","NH",32,2009,"2009-2010",120,NA,NA,NA,NA,NA,NA,NA,NA,1,"A/Brisbane/59/2007","A/Brisbane/10/2007","B/Brisbane/60/2008"
"JPN","NH",19,2005,"2005-2006",NA,1,31,NA,NA,NA,NA,NA,NA,NA,"A/New Caledonia/20/99","A/California/7/2004","B/Shanghai/361/2002"
"X10","NH",21,2020,"2020-2021",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"KGZ","NH",24,2017,"2017-2018",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Hong Kong/4801/2014","B/Brisbane/60/2008"
"NLD","NH",25,2015,"2015-2016",0,0,0,NA,NA,NA,NA,0,NA,1,"A/California/7/2009","A/Switzerland/9715293/2013","B/Phuket/3073/2013"
"AFG","NH",3,2018,"2018-2019",0,NA,9,0,0,NA,NA,0,NA,0,"A/Michigan/45/2015","A/Singapore/INFIMH-16-0019/2016","B/Colorado/06/2017"
"SVK","NH",7,2012,"2012-2013",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Victoria/361/2011","B/Wisconsin/1/2010"
"TGO","NH",43,2010,"2010-2011",4,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"SRB","NH",39,2011,"2011-2012",0,0,0,NA,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
"DNK","NH",50,2020,"2020-2021",0,0,0,NA,NA,NA,NA,0,NA,0,"A/Guangdong-Maonan/SWL1536/2019","A/Hong Kong/2671/2019","B/Washington/02/2019"
"KOR","NH",33,2010,"2010-2011",0,0,0,0,NA,NA,NA,0,NA,0,"A/California/7/2009","A/Perth/16/2009","B/Brisbane/60/2008"
